batsman,Bangalore,Chennai,Delhi,Hyderabad,Jaipur,Kochi,Kolkata,Mohali,Mumbai,Pune,Rajkot
S Vidyut,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
SA Abbott,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SA Asnodkar,1.0,1.0,2.0,1.0,10.0,0.0,0.0,2.0,2.0,0.0,0.0
SA Yadav,3.0,2.0,5.0,4.0,2.0,0.0,14.0,3.0,5.0,2.0,2.0
SB Bangar,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SB Jakati,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
SB Joshi,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SB Styris,0.0,2.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SB Wagh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
SC Ganguly,2.0,4.0,0.0,6.0,5.0,0.0,21.0,3.0,5.0,10.0,0.0
SD Chitnis,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0
SE Bond,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE Marsh,4.0,5.0,4.0,9.0,1.0,0.0,4.0,36.0,3.0,1.0,2.0
SJ Srivastava,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
SK Raina,10.0,61.0,11.0,8.0,12.0,2.0,6.0,9.0,15.0,5.0,18.0
SK Trivedi,0.0,0.0,4.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,0.0
SK Warne,1.0,0.0,6.0,2.0,12.0,0.0,3.0,2.0,1.0,0.0,0.0
SL Malinga,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,13.0,1.0,1.0
SM Harwood,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SM Katich,0.0,2.0,0.0,1.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0
SM Pollock,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
SMSM Senanayake,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
SN Khan,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
SN Thakur,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
SP Fleming,0.0,6.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
SP Goswami,0.0,1.0,2.0,1.0,4.0,0.0,4.0,1.0,3.0,0.0,0.0
SP Jackson,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
SP Narine,2.0,2.0,2.0,3.0,3.0,0.0,10.0,2.0,3.0,2.0,1.0
SPD Smith,7.0,5.0,0.0,4.0,12.0,0.0,2.0,6.0,3.0,21.0,2.0
SR Tendulkar,2.0,4.0,5.0,3.0,5.0,0.0,2.0,7.0,48.0,2.0,0.0
SR Watson,17.0,3.0,9.0,6.0,41.0,1.0,3.0,7.0,6.0,2.0,3.0
SS Iyer,1.0,1.0,19.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0
SS Shaikh,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SS Tiwary,18.0,2.0,7.0,3.0,3.0,1.0,3.0,5.0,17.0,4.0,1.0
ST Jayasuriya,3.0,3.0,1.0,4.0,3.0,0.0,1.0,2.0,13.0,0.0,0.0
STR Binny,9.0,1.0,4.0,3.0,24.0,0.0,3.0,6.0,2.0,3.0,1.0
SV Samson,3.0,1.0,18.0,4.0,21.0,0.0,2.0,6.0,2.0,2.0,3.0
