batsman,Bangalore,Chennai,Delhi,Hyderabad,Jaipur,Kochi,Kolkata,Mohali,Mumbai,Pune,Rajkot
LA Carseldine,0.0,0.0,0.0,114.70588235294117,113.51351351351352,0.0,0.0,0.0,0.0,0.0,0.0
LA Pomersbach,138.5964912280702,75.0,208.33333333333334,85.45454545454545,0.0,0.0,0.0,101.72413793103448,145.61403508771932,0.0,0.0
LH Ferguson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
LJ Wright,175.0,33.33333333333333,183.33333333333331,0.0,0.0,0.0,0.0,309.09090909090907,0.0,105.55555555555556,0.0
LMP Simmons,128.2828282828283,106.56934306569343,142.25352112676057,118.6046511627907,125.42372881355932,0.0,57.692307692307686,178.78787878787878,125.63451776649745,68.75,0.0
LPC Silva,0.0,0.0,0.0,148.14814814814815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LR Shukla,94.11764705882352,127.77777777777777,136.36363636363635,127.02702702702702,97.77777777777777,0.0,106.5934065934066,125.0,121.05263157894737,0.0,0.0
LRPL Taylor,164.33121019108282,111.11111111111111,107.10059171597632,115.49295774647888,107.97101449275361,200.0,206.1224489795918,0.0,97.53086419753086,75.5813953488372,0.0
M Ashwin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Kaif,97.61904761904762,142.85714285714286,66.66666666666666,164.51612903225808,105.88235294117648,0.0,0.0,91.11111111111111,69.56521739130434,0.0,0.0
M Kartik,130.76923076923077,100.0,0.0,100.0,0.0,0.0,93.75,0.0,84.0,123.80952380952381,0.0
M Klinger,96.0,0.0,74.07407407407408,0.0,0.0,111.53846153846155,0.0,0.0,0.0,0.0,0.0
M Manhas,83.33333333333334,101.81818181818181,119.46902654867257,119.14893617021276,112.00000000000001,0.0,0.0,103.27868852459017,110.25641025641026,61.111111111111114,0.0
M Morkel,172.72727272727272,50.0,192.59259259259258,0.0,75.0,0.0,100.0,266.66666666666663,90.9090909090909,100.0,0.0
M Muralitharan,66.66666666666666,100.0,0.0,0.0,0.0,62.5,0.0,100.0,0.0,0.0,0.0
M Ntini,0.0,0.0,0.0,0.0,84.61538461538461,0.0,0.0,0.0,0.0,0.0,0.0
M Rawat,44.44444444444444,0.0,75.0,0.0,112.5,0.0,45.45454545454545,108.0,20.0,0.0,0.0
M Vijay,137.22627737226279,119.86754966887416,130.36437246963564,109.41176470588236,136.6255144032922,146.66666666666666,124.13793103448276,97.03703703703704,107.34693877551021,117.5257731958763,127.63157894736842
M Vohra,125.0,113.63636363636364,96.22641509433963,152.34375,0.0,0.0,115.38461538461537,128.5171102661597,102.85714285714285,146.15384615384613,142.85714285714286
M de Lange,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA Agarwal,113.36898395721926,125.92592592592592,100.0,132.75862068965517,136.8421052631579,122.22222222222223,0.0,130.64516129032256,143.75,89.65517241379311,0.0
MA Khote,0.0,180.0,0.0,70.0,0.0,0.0,0.0,0.0,114.28571428571428,0.0,0.0
MA Starc,88.05970149253731,100.0,0.0,100.0,112.5,0.0,150.0,0.0,0.0,0.0,0.0
MC Henriques,143.03797468354432,211.11111111111111,154.16666666666669,128.2258064516129,85.29411764705883,0.0,95.23809523809523,200.0,96.20253164556962,100.0,187.5
MC Juneja,0.0,66.66666666666666,98.1981981981982,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0
MD Mishra,100.0,78.57142857142857,63.63636363636363,117.74193548387098,0.0,0.0,0.0,0.0,100.0,130.0,0.0
MDKJ Perera,0.0,0.0,116.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEK Hussey,129.62962962962962,125.89838909541511,117.0,135.8974358974359,131.08614232209737,85.1063829787234,122.72727272727273,53.333333333333336,98.2532751091703,47.368421052631575,0.0
MF Maharoof,138.46153846153845,0.0,181.3953488372093,0.0,0.0,0.0,80.0,95.45454545454545,154.83870967741936,0.0,0.0
MG Johnson,133.33333333333331,66.66666666666666,233.33333333333334,66.66666666666666,18.181818181818183,0.0,107.6923076923077,84.90566037735849,114.28571428571428,92.85714285714286,0.0
MJ Clarke,130.0,0.0,0.0,0.0,88.88888888888889,0.0,65.0,0.0,93.33333333333333,127.27272727272727,0.0
MJ Guptill,90.0,0.0,185.1851851851852,209.0909090909091,0.0,0.0,0.0,125.0,103.63636363636364,0.0,0.0
MJ Lumb,0.0,0.0,0.0,0.0,130.5084745762712,0.0,0.0,165.33333333333334,0.0,0.0,0.0
MJ McClenaghan,240.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,135.48387096774192,100.0,100.0
MK Pandey,126.68621700879766,86.8421052631579,116.14906832298138,103.7037037037037,121.81818181818183,0.0,113.09255079006772,104.28571428571429,129.33333333333331,116.9435215946844,104.34782608695652
MK Tiwary,106.38297872340425,94.6236559139785,113.60294117647058,125.0,115.87301587301589,14.285714285714285,110.68883610451306,119.00826446280992,114.20454545454545,144.0,110.71428571428572
ML Hayden,113.72549019607843,147.83715012722647,175.75757575757575,123.63636363636363,122.89156626506023,0.0,140.0,111.76470588235294,94.28571428571428,0.0,0.0
MM Patel,0.0,0.0,229.99999999999997,0.0,62.5,0.0,133.33333333333331,0.0,16.666666666666664,50.0,0.0
